term,estimate,std.error,statistic,p.value
(Intercept),18.629336932185186,0.05700323560092121,326.8119210391651,0
log_gas,0.5415533401999244,0.2219370256333188,2.440121645563869,0.014826739437021114
shock1,0.310063021639105,0.13123125829978013,2.362722309122479,0.018300610135297192
time_index,-1.1019650782319012e-4,8.453192418093361e-5,-1.3036081798791612,0.19261807998744426
