event_id,transaction_rate_ratio_cex_bound,transaction_rate_ratio_non_cex,volume_rate_ratio_cex_bound,volume_rate_ratio_non_cex,relative_cex_transaction_ratio,relative_cex_volume_ratio
E001,0.7401734203673352,0.8656545206050639,0.6608214416704836,1.1267120710572227,0.8550448276409144,0.5865042708297409
E002,0.40490988067699973,0.5412256825894092,0.6526520889417333,0.49042723185357057,0.7481350085601483,1.330782726878835
E005,1.0761077478935137,1.4829625703943627,1.9897363020543906,1.634080263047195,0.7256472748380598,1.2176490635435353
E010,20.1974728170146,1.1436416150962188,0.7333126967416672,0.7380812912178906,17.66066620032475,0.9935392015311013
E013,1.2215538580471867,0.9251482308118126,2.9796761782073315,1.987145291286024,1.3203871740372672,1.499475751105733
E018,0.8109090938281931,1.1928822428004604,1.403840161973077,1.535166808249786,0.6797897267080352,0.9144544777994308
E020,0.7436310200705942,1.3861727642294754,1.1306749190540093,1.84208773528473,0.53646344760204,0.6138007964529669
E027,0.8457525873059173,0.9704783408163601,0.7805630480130417,0.8703215745213064,0.8714801265883747,0.896867400354135
E030,0.9397780022523379,1.2107886204997296,1.6640532169130455,1.4451617379110182,0.7761701640906261,1.1514650390055545
E034,1.149307587126683,1.1262920503306362,1.8445164108953818,1.709487579745681,1.020434785799376,1.0789878983325454
E044,1.143823113693347,1.2016397667757575,1.4159642128163614,1.5068754257255366,0.9518852033021974,0.9396690586646187
E047,0.9381472049888218,1.0567600987714445,1.9554511613257208,1.677108920098638,0.8877579746618761,1.1659655123715593
E052,1.0762306434451938,1.0445646746320596,1.8888977960381659,1.327506784849985,1.030314991098362,1.4228912556945017
E054,0.5175997769583217,0.5605420813243469,0.3941601240639154,0.5125067788914572,0.9233914708694682,0.7690827522642266
E057,1.202425133889559,1.1370523980717027,2.2734616134519294,1.5362089638237946,1.0574931603228843,1.479916903878123
E059,1.278590663677487,1.0518183307493416,1.2177619739788819,1.4706344502329367,1.2156002859986166,0.8280521198085616
E060,1.014089520843025,1.1168010558538923,1.5973573966178125,1.2502988778944908,0.9080305892687974,1.2775804448515302
E061,1.0756407417296332,1.003175212766687,0.817157105339377,0.8438569401514096,1.072236163773516,0.9683597615405736
E065,1.86641149500758,1.7085215483366434,1.300685415023542,0.8742178651657873,1.0924132018262531,1.4878275391648272
E067,1.1180082257744508,0.97434671567826,1.7177967474532767,0.8552740796542541,1.1474439311843787,2.008475164064014
