event_id,destination_group,shock_window,mean_hourly_transactions,mean_hourly_volume,hours
E001,cex_bound,0,1183.0851063829787,119406322.46510491,329
E001,cex_bound,1,937.2857142857143,72719445.55428572,7
E001,non_cex,0,4146.790273556231,404297011.5832297,329
E001,non_cex,1,3707.285714285714,415808436.6557625,7
E002,cex_bound,0,1116.0911854103344,118234868.61248684,329
E002,cex_bound,1,403.57142857142856,82348227.04286914,7
E002,non_cex,0,4073.0729483282676,421691839.3504812,329
E002,non_cex,1,2214.714285714286,194245786.2275789,7
E005,cex_bound,0,906.9452887537994,76241153.10884959,329
E005,cex_bound,1,934.2857142857143,147984697.74904135,7
E005,non_cex,0,4747.571428571428,414440614.46722984,329
E005,non_cex,1,6862.285714285715,632166964.2773094,7
E010,cex_bound,0,2224.2462006079027,143766109.64279565,329
E010,cex_bound,1,21665.85714285714,81967157.77396692,7
E010,non_cex,0,4996.127659574468,633151121.2687773,329
E010,non_cex,1,5495.857142857143,418594668.5359567,7
E013,cex_bound,0,1534.2948328267478,141191661.80549997,329
E013,cex_bound,1,1754.142857142857,536931077.165796,7
E013,non_cex,0,5909.331306990882,563936625.6556152,329
E013,non_cex,1,5507.857142857143,1255983758.832266,7
E018,cex_bound,0,1201.4285714285713,87743092.08452399,329
E018,cex_bound,1,1002.1428571428571,114873076.73667696,7
E018,non_cex,0,4580.507598784195,299843716.81479305,329
E018,non_cex,1,5768.571428571428,494811413.3942353,7
E020,cex_bound,0,1049.8674351585014,78014329.7353426,347
E020,cex_bound,1,749.2857142857143,81813729.42468517,7
E020,non_cex,0,4304.755043227666,214995589.06596485,347
E020,non_cex,1,6098.428571428572,379293260.8748397,7
E027,cex_bound,0,1341.8996960486322,108099810.54304062,329
E027,cex_bound,1,1055.0,77729173.9318944,7
E027,non_cex,0,5381.80547112462,253252275.43177795,329
E027,non_cex,1,4907.142857142857,201967402.0415666,7
E030,cex_bound,0,1468.109422492401,119346544.87170999,329
E030,cex_bound,1,1446.2857142857142,197999541.93657494,7
E030,non_cex,0,5587.398176291793,302926339.0371059,329
E030,non_cex,1,6830.428571428572,437160463.68119544,7
E034,cex_bound,0,1263.015197568389,122112176.26336978,329
E034,cex_bound,1,1422.5714285714287,195312617.96094343,7
E034,non_cex,0,5170.112462006079,287949885.97241616,329
E034,non_cex,1,5859.714285714285,451211237.7942844,7
E044,cex_bound,0,1270.8145896656536,149423043.9819726,329
E044,cex_bound,1,1437.857142857143,230756795.00076333,7
E044,non_cex,0,5795.26443768997,337475837.9222734,329
E044,non_cex,1,7109.142857142857,558718302.214098,7
E047,cex_bound,0,1405.8328267477204,159912078.17129636,329
E047,cex_bound,1,1425.0,349536473.5860502,7
E047,non_cex,0,6094.790273556231,375124220.9322132,329
E047,non_cex,1,6888.571428571428,699687706.5643467,7
E052,cex_bound,0,1726.5714285714287,403303072.5257066,329
E052,cex_bound,1,1809.2857142857142,592701714.256447,7
E052,non_cex,0,7893.933130699088,728245437.483357,329
E052,non_cex,1,8052.142857142857,864119067.6329783,7
E054,cex_bound,0,1659.6231003039513,250853089.49571428,329
E054,cex_bound,1,976.1428571428571,93708556.34184754,7
E054,non_cex,0,6910.668693009118,597245085.2822977,329
E054,non_cex,1,3936.714285714286,301380337.41718525,7
E057,cex_bound,0,1940.662613981763,286050969.9898471,329
E057,cex_bound,1,2283.714285714286,492523442.4881236,7
E057,non_cex,0,11037.328267477204,930129666.397721,329
E057,non_cex,1,12545.857142857143,1284342460.9041848,7
E059,cex_bound,0,1968.015197568389,247114249.11357427,329
E059,cex_bound,1,2581.714285714286,262550247.54719546,7
E059,non_cex,0,11668.893617021276,867446339.2652841,329
E059,non_cex,1,11866.285714285714,1169237869.3495665,7
E060,cex_bound,0,2173.082066869301,414974765.4662533,329
E060,cex_bound,1,2238.285714285714,535048726.70360154,7
E060,non_cex,0,12593.045592705168,1299604345.122932,329
E060,non_cex,1,13545.57142857143,1547064747.3211656,7
E061,cex_bound,0,2015.595744680851,348088414.0342224,329
E061,cex_bound,1,2202.1428571428573,331808389.87454075,7
E061,non_cex,0,16718.27659574468,1887313117.3744438,329
E061,non_cex,1,16543.571428571428,1870311282.4901803,7
E065,cex_bound,0,2159.0729483282676,300186337.9295373,329
E065,cex_bound,1,4100.285714285715,392305783.80557436,7
E065,non_cex,0,18587.720364741643,3371741786.7569895,329
E065,non_cex,1,31097.714285714286,3734584844.4234357,7
E067,cex_bound,0,2513.033434650456,213283491.9235441,329
E067,cex_bound,1,3309.4285714285716,412044433.3934826,7
E067,non_cex,0,20024.16717325228,1994448019.1638436,329
E067,non_cex,1,20574.14285714286,2165359183.752845,7
