event_id,period,hours,total_volume_usd,total_transactions,mean_hourly_volume_usd,mean_hourly_transactions,mean_active_entities,mean_base_fee_gwei,max_base_fee_gwei
E002,anticipatory,24,1230162455.0871637,25795.0,51256768.96196515,1074.7916666666667,1051.7083333333333,45.131586125304445,198.336583774
E002,baseline,144,18169185766.433594,144006.0,126174901.15578884,1000.0416666666666,971.375,44.92608766761029,516.774521403
E002,post,143,13392920338.577787,35767.0,93656785.58446005,250.11888111888112,233.15384615384616,49.88233466908487,333.830939483
E002,recovery,18,740247277.4386848,4304.0,41124848.7465936,239.11111111111111,229.61111111111111,55.176442776467034,124.122191015
E002,shock,7,525067499.31042004,833.0,75009642.75863144,119.0,113.28571428571429,2379.1585919502368,8629.051173688
E020,anticipatory,24,1989963469.169629,19064.0,82915144.54873455,794.3333333333334,761.0416666666666,90.67744804886246,184.30827365
E020,baseline,144,10419604382.347118,145855.0,72358363.76629943,1012.8819444444445,980.6805555555555,58.39849310738148,175.701562911
E020,post,144,8241155686.390069,44149.0,57230247.822153255,306.59027777777777,284.0625,100.10824092736453,306.067170207
E020,recovery,18,1138430517.4630198,5080.0,63246139.85905666,282.22222222222223,263.6111111111111,126.43196928181993,217.819628786
E020,shock,7,435481007.5343706,2147.0,62211572.50491009,306.7142857142857,260.42857142857144,198.03292676700298,299.328677077
E047,anticipatory,24,2513263935.0363193,34302.0,104719330.6265133,1429.25,1355.7916666666667,9.026929625549991,36.941977169
E047,baseline,144,25739968960.547817,224766.0,178749784.44824874,1560.875,1467.9583333333333,9.866257483829154,76.659726916
E047,post,143,14013190297.067686,70004.0,97994337.74173208,489.53846153846155,431.8531468531468,16.13996617019155,97.091996569
E047,recovery,18,2854260205.48899,10659.0,158570011.416055,592.1666666666666,522.7222222222222,12.693003355739428,36.834834658
E047,shock,7,1596804218.0794616,4638.0,228114888.29706594,662.5714285714286,571.0,45.39691794014938,129.855328263
