model,term,coefficient,standard_error,p_value,ci_lower,ci_upper
transactions,Intercept,13.24625694194234,2.4855271478924696,9.856208493949086e-08,8.374713249476539,18.11780063440814
transactions,C(event_id)[T.E020],0.3529639104751886,0.24942742913006938,0.15704017075835328,-0.13590486737616414,0.8418326883265413
transactions,C(event_id)[T.E047],-0.7201992289386003,0.2567903404497374,0.005037598997762331,-1.2234990477978647,-0.216899410079336
transactions,C(hour_of_week)[T.1],0.20615134919521141,0.2128776756894921,0.3328432134961,-0.21108122826879092,0.6233839266592137
transactions,C(hour_of_week)[T.2],0.1504024868052189,0.24616825858375996,0.5412165747678667,-0.3320784341558936,0.6328834077663315
transactions,C(hour_of_week)[T.3],0.43709399762413614,0.25576665010284066,0.08745906655358379,-0.06419942502388931,0.9383874202721616
transactions,C(hour_of_week)[T.4],0.3157216436856582,0.19069280277608414,0.09779154442224612,-0.058029381866466334,0.6894726692377827
transactions,C(hour_of_week)[T.5],0.48521232780912804,0.24404391420197746,0.046787664438319686,0.006895045327069194,0.9635296102911869
transactions,C(hour_of_week)[T.6],0.5183052066212441,0.20730148118184594,0.012410623608805998,0.11200176956301833,0.9246086436794699
transactions,C(hour_of_week)[T.7],0.664704847856076,0.22566078448467813,0.003223361350471216,0.22241783754305183,1.1069918581691
transactions,C(hour_of_week)[T.8],0.8144216911183609,0.244321828664674,0.0008579237936001192,0.3355597062986341,1.293283675938088
transactions,C(hour_of_week)[T.9],0.843273378508013,0.18648975294180375,6.130974510051528e-06,0.47776017925630504,1.2087865777597209
transactions,C(hour_of_week)[T.10],0.8144079649774462,0.21104082733912966,0.00011384882063258151,0.40077554412521604,1.2280403858296762
transactions,C(hour_of_week)[T.11],0.8358187819019962,0.21639375213898948,0.00011223699488948388,0.41169482123008955,1.259942742573903
transactions,C(hour_of_week)[T.12],1.069410167164565,0.24349654162019696,1.1236925124929358e-05,0.5921657152289207,1.5466546191002095
transactions,C(hour_of_week)[T.13],1.1060460138541326,0.26311676731252076,2.6266607259180914e-05,0.5903466261929862,1.621745401515279
transactions,C(hour_of_week)[T.14],1.3020111297410135,0.2625500906936278,7.08219303472843e-07,0.7874224078437783,1.8165998516382489
