event_id,entities,median_delta_log_volume,mean_delta_log_volume,median_delta_log_transactions,mean_delta_log_transactions,share_non_decreasing_transactions
E002,15036,-4.136332379292811,-4.328431538566961,-0.0137933221323358,-0.017172127434923114,0.021880819366852888
E020,15014,-3.19157362914504,-3.4621781456302854,-0.0137933221323358,-0.012000059286260205,0.04688956973491408
E047,25074,-3.053079652399225,-3.1441288316602436,-0.0137933221323358,-0.010368744433405417,0.06899577251336045
