coefficient,standard_error,p_value,ci_lower,ci_upper,observations,events,omitted_event
-0.8858688999111863,0.07864784819965275,1.9816658775144435e-29,-1.040015849844079,-0.7317219499782937,690.0,2.0,E002
-0.8047275775312811,0.07143358583298136,1.944773711006768e-29,-0.9447348330504752,-0.664720322012087,672.0,2.0,E020
-0.8807148161093312,0.08047825131777764,7.1379090137995415e-28,-1.0384492902309386,-0.7229803419877239,690.0,2.0,E047
