event_id,window,minimum_prior_48h_transactions,entities,share_any_next_7h_transfer,observed_transactions,expected_transactions,observed_expected_ratio
E002,placebo_-96,1,43265,0.026372356408182134,1378,7425.104166666664,0.18558662196097142
E002,placebo_-96,2,4224,0.10321969696969698,619,1731.625,0.3574676965278279
E002,placebo_-96,3,1181,0.1905165114309907,383,844.0833333333334,0.45374666798301905
E002,placebo_-96,5,315,0.37142857142857144,243,432.5416666666667,0.5617955880936326
E002,placebo_-72,1,42724,0.024131635614642825,1236,7320.979166666664,0.16882987532974592
E002,placebo_-72,2,4167,0.10367170626349892,608,1698.0833333333333,0.3580507434853021
E002,placebo_-72,3,1153,0.20381613183000868,376,819.0,0.4590964590964591
E002,placebo_-72,5,317,0.3627760252365931,231,425.3958333333333,0.5430236544394926
E002,placebo_-48,1,42179,0.023661063562436285,1224,7196.145833333331,0.17009104989650137
E002,placebo_-48,2,3970,0.1,603,1624.0,0.3713054187192118
E002,placebo_-48,3,1110,0.20810810810810812,420,789.8333333333334,0.5317577548005908
E002,placebo_-48,5,322,0.39751552795031053,291,412.41666666666663,0.705597090321277
E002,real,1,45049,0.010610668383315945,556,7619.937499999997,0.07296647774341984
E002,real,2,4152,0.055876685934489405,296,1655.7916666666665,0.17876645109338435
E002,real,3,1121,0.11685994647636039,187,771.75,0.24230644638807905
E002,real,5,312,0.22435897435897437,114,387.91666666666663,0.2938775510204082
E020,placebo_-96,1,33106,0.024889748081918687,1229,5763.1875,0.21325004608994588
E020,placebo_-96,2,3371,0.10382675763868289,697,1426.8333333333335,0.48849433477397497
E020,placebo_-96,3,979,0.20326864147088866,523,729.1666666666667,0.7172571428571428
E020,placebo_-96,5,289,0.35986159169550175,394,400.45833333333337,0.9838726459265424
E020,placebo_-72,1,39909,0.02032123080007016,1286,6840.458333333332,0.1879990985009533
E020,placebo_-72,2,3663,0.10046410046410047,778,1554.5833333333333,0.5004556419190566
E020,placebo_-72,3,1035,0.21932367149758455,611,788.0833333333333,0.7752987205244793
E020,placebo_-72,5,260,0.4230769230769231,456,419.2708333333333,1.0876024844720498
E020,placebo_-48,1,45272,0.023347764622724865,1549,7720.270833333331,0.20064062951159425
E020,placebo_-48,2,3814,0.1303093864708967,922,1674.3125,0.5506737840158273
E020,placebo_-48,3,1128,0.26684397163120566,687,890.8958333333333,0.771133924186797
E020,placebo_-48,5,317,0.45425867507886436,475,506.33333333333337,0.9381171823568136
E020,real,1,38382,0.02449064665728727,1539,6794.520833333331,0.22650603887323434
E020,real,2,4174,0.10757067561092477,993,1805.8541666666665,0.5498782893598367
E020,real,3,1130,0.23628318584070795,779,918.0208333333333,0.8485646204470669
E020,real,5,337,0.43026706231454004,622,540.8958333333334,1.1499441512922235
E047,placebo_-96,1,66471,0.03579004377848987,3705,12418.145833333332,0.298353719607228
E047,placebo_-96,2,7562,0.16146522084104734,2449,3827.25,0.6398850349467633
E047,placebo_-96,3,2506,0.29209896249002393,1857,2352.583333333333,0.7893450462257803
E047,placebo_-96,5,790,0.49746835443037973,1400,1532.2708333333335,0.9136765965546777
E047,placebo_-72,1,64552,0.03728776800099145,3913,12009.229166666666,0.3258327362809506
E047,placebo_-72,2,7208,0.16148723640399557,2554,3646.5625,0.7003856371582826
E047,placebo_-72,3,2489,0.28806749698674167,2030,2270.1875,0.8941992676816343
E047,placebo_-72,5,800,0.465,1554,1462.4166666666667,1.0626246509772637
E047,placebo_-48,1,57483,0.02703407964093732,2275,10793.125,0.2107823267126064
E047,placebo_-48,2,6639,0.11402319626449767,1392,3378.375,0.41203241203241203
E047,placebo_-48,3,2233,0.20913569189431258,1049,2093.291666666667,0.5011246242958657
E047,placebo_-48,5,704,0.34375,769,1358.0,0.5662739322533137
E047,real,1,49262,0.0298404449677236,2492,8788.64583333333,0.28354766448187185
E047,real,2,4544,0.1426056338028169,1560,2267.270833333333,0.6880518979316176
E047,real,3,1514,0.25891677675033026,1233,1383.520833333333,0.8912045054134231
E047,real,5,443,0.45598194130925507,933,870.3333333333333,1.0720030639601685
