event_id,minimum_baseline_transactions,entities,share_any_shock_transfer,observed_shock_transactions,expected_shock_transactions,observed_expected_ratio
E002,1,112743,0.005632278722404052,710,7000.291666666667,0.10142434541417916
E002,2,15036,0.02341048151104017,421,2250.645833333333,0.1870574187038906
E002,3,5273,0.046463113976863264,308,1301.4652777777776,0.23665633287267027
E002,5,1496,0.10026737967914438,202,699.8055555555555,0.28865160957408803
E002,10,359,0.1977715877437326,111,364.1944444444444,0.3047822439173214
E020,1,112207,0.012049159143368952,1974,7090.173611111111,0.27841349285249045
E020,2,15014,0.048155055281737046,1298,2365.5138888888887,0.5487179788277154
E020,3,5403,0.09254118082546733,1048,1431.111111111111,0.7322981366459628
E020,5,1701,0.18400940623162845,818,837.6180555555555,0.9765787575549052
E020,10,385,0.37402597402597404,594,447.75694444444446,1.32661259053616
E047,1,156008,0.020146402748576996,4391,10926.125,0.40188081318857327
E047,2,25074,0.07178750897343862,2981,4561.277777777778,0.6535449374566094
E047,3,10032,0.12210925039872408,2359,3098.8611111111113,0.7612474116835037
E047,5,3347,0.21452046608903497,1793,2022.3680555555557,0.8865844152722503
E047,10,885,0.3977401129943503,1294,1286.5902777777778,1.0057591933890722
