event_id,window,relative_hour_start,relative_hour_end,window_hours,mean_hourly_transactions,baseline_mean_hourly_transactions,rate_ratio,log_rate_ratio
E002,real,0,6,7,119.0,1000.0416666666666,0.11899504187325528,-2.1249804276288033
E002,placebo_-144,-144,-138,7,881.4285714285714,1000.0416666666666,0.8813918467682894,-0.1261857310478837
E002,placebo_-120,-120,-114,7,1108.5714285714287,1000.0416666666666,1.1085252400197612,0.10298159436554247
E002,placebo_-96,-96,-90,7,1002.1428571428571,1000.0416666666666,1.0021011029302351,0.002097850918698559
E002,placebo_-72,-72,-66,7,891.4285714285714,1000.0416666666666,0.8913914301189831,-0.11491074650048229
E002,placebo_-48,-48,-42,7,948.4285714285714,1000.0416666666666,0.9483890552179374,-0.05296327042171354
E020,real,0,6,7,306.7142857142857,1012.8819444444445,0.30281345955131567,-1.1935029729043127
E020,placebo_-144,-144,-138,7,828.7142857142857,1012.8819444444445,0.8181746058952873,-0.20056986735001345
E020,placebo_-120,-120,-114,7,759.7142857142857,1012.8819444444445,0.7500521555164865,-0.28744812764700495
E020,placebo_-96,-96,-90,7,856.7142857142857,1012.8819444444445,0.8458184988026268,-0.16736054705660788
E020,placebo_-72,-72,-66,7,757.0,1012.8819444444445,0.7473723903877139,-0.29102493868926643
E020,placebo_-48,-48,-42,7,915.5714285714286,1012.8819444444445,0.9039270900160139,-0.10095413564907897
E047,real,0,6,7,662.5714285714286,1560.875,0.42448718095390636,-0.8564394025013994
E047,placebo_-144,-144,-138,7,1859.142857142857,1560.875,1.1910901623402623,0.17481761369566756
E047,placebo_-120,-120,-114,7,1745.142857142857,1560.875,1.118054204944571,0.11155604401681737
E047,placebo_-96,-96,-90,7,1711.4285714285713,1560.875,1.0964545984967222,0.0920537112488197
E047,placebo_-72,-72,-66,7,1774.0,1560.875,1.1365420036838312,0.12795184980047775
E047,placebo_-48,-48,-42,7,1222.142857142857,1560.875,0.7829857337345124,-0.24455205120566775
