term,estimate,std.error,statistic,p.value
(Intercept),17.723203122936017,0.09404171584903635,188.46107775603318,0
log_gas,0.774298934246599,0.0800111697039256,9.677385508946127,1.1691583098360192e-21
periodlow_fee_2026,0.7675051766888242,0.10562273628512647,7.266476931793921,5.348771062544893e-13
shock,-0.4620872740822322,0.1816566817524958,-2.543739484968785,0.011045363074200653
global_index,6.491713328673925e-5,7.283209819938157e-5,0.891325869934782,0.37286646436123627
log_gas:periodlow_fee_2026,-0.34814033832064045,0.22474300772170477,-1.5490597097985641,0.12153277536500957
periodlow_fee_2026:shock,0.796455172215876,0.21971943333868538,3.6248735949914104,2.96659624524545e-4
