period,term,estimate,se,t_value
high_fee_2024,ar1,0.22424720927790795,0.06026436924931638,3.721057933091231
high_fee_2024,ar2,0.09796033971120773,0.05178472193832221,1.891684188782217
high_fee_2024,ar3,0.07225520101038173,0.04765328404669073,1.5162690768507374
high_fee_2024,ar4,0.12527699861489072,0.04575959349670567,2.7377209682579386
high_fee_2024,ma1,-0.9088475583409352,0.04437762788666115,-20.47985892040239
high_fee_2024,log_gas,0.4311448138437981,0.0773469076999786,5.5741700174513555
high_fee_2024,shock,-0.006078076414469169,0.1312433802053447,-0.04631148942490928
