period,n,mean_volume,sd_volume,min_volume,max_volume,mean_gas,sd_gas,min_gas,p90_gas,max_gas,shock_hours
high_fee_2024,720,172524663.16816577,157158047.96274444,7116514.18748896,1517732142.2751572,4.149426996975701,15.611052099912811,0.7167816762976589,6.629641097603098,325.8114153625302,73
low_fee_2026,1200,204533416.54625103,264008382.0596856,8579438.947307853,4501646560.809597,0.17641161317412438,0.4654477000585213,0.02631946592255892,0.2725634820928011,8.348971844117058,121
