event_id,event_start,event_end,peak_time,peak_avg_gas_gwei,peak_median_gas_gwei,peak_max_gas_gwei,lagged_threshold_gwei,lagged_median_gwei,shock_ratio,shock_increase_gwei,event_interval_count,selected_non_overlapping,overlap_with_peak_time,window_start,window_end,market_stable,analysis_eligible,exclusion_reason,screen_max_eth_abs_return_1h,screen_max_stablecoin_depeg_abs,screen_volatility_breach,screen_observation_count
E001,2022-04-05 18:00:00,2022-04-05 18:00:00,2022-04-05 18:00:00,250.85740390825,77.80975646565129,3987.823764491,226.49462393778592,68.0554310005046,3.686074722036365,182.8019729077454,1,True,,2022-03-29 18:00:00,2022-04-12 18:00:00,True,True,,0.0204547513692201,0.0036334166666667,False,13
E002,2022-05-01 00:00:00,2022-05-01 00:00:00,2022-05-01 00:00:00,2750.950847064712,1015.7372038652804,8629.051173688,166.4157142557044,48.70663793587792,56.479998695174295,2702.244209128834,1,True,,2022-04-24 00:00:00,2022-05-08 00:00:00,True,True,,0.0154129596528136,0.0085190833333332,False,13
E005,2022-10-20 12:00:00,2022-10-20 12:00:00,2022-10-20 12:00:00,49.19032901722377,45.06104452553405,98.977013035,36.82899821311398,11.888952522752115,4.137482164478939,37.30137649447165,1,True,,2022-10-13 12:00:00,2022-10-27 12:00:00,True,True,,0.0060672153143146,0.0015277499999999,False,13
E007,2022-11-08 18:00:00,2022-11-08 18:00:00,2022-11-08 18:00:00,104.7371549209888,87.72954337276192,669.858927546,37.1526061831721,12.57934153616062,8.326123797490592,92.1578133848282,1,True,,2022-11-01 18:00:00,2022-11-15 18:00:00,False,False,eth_return_spike;elevated_eth_volatility,0.0776665260793247,0.0058536666666666,True,13
E010,2022-12-09 12:00:00,2022-12-09 12:00:00,2022-12-09 12:00:00,47.70904825853743,26.148946962468287,193.543542796,46.96271472064195,12.570167737622302,3.795418585843134,35.13888052091512,1,True,,2022-12-02 12:00:00,2022-12-16 12:00:00,True,True,,0.0054660178245766,0.0030729166666665,False,13
E013,2023-02-14 18:00:00,2023-02-14 18:00:00,2023-02-14 18:00:00,148.23033100247986,81.13298484672931,813.226561828,41.67263578245661,15.546670632833123,9.534538584063856,132.68366036964673,1,True,,2023-02-07 18:00:00,2023-02-21 18:00:00,True,True,,0.0248865679586431,0.0010405000000004,False,13
E016,2023-03-11 00:00:00,2023-03-11 06:00:00,2023-03-11 06:00:00,159.9144440155191,117.8604995138652,378.151610964,49.47652883641775,19.5819533124849,8.166419430362046,140.3324907030342,2,True,,2023-03-04 00:00:00,2023-03-18 06:00:00,False,False,stablecoin_depeg,0.020004354153249,0.0980118333333333,False,19
E018,2023-04-20 12:00:00,2023-04-20 12:00:00,2023-04-20 12:00:00,83.90757481173475,74.67353808039636,194.726000879,81.57854719369337,24.201516746669647,3.4670378592400084,59.7060580650651,1,True,,2023-04-13 12:00:00,2023-04-27 12:00:00,True,True,,0.0090639087234549,0.0013793333333336,False,13
E020,2023-05-05 00:00:00,2023-05-05 18:00:00,2023-05-05 12:00:00,196.7532469117031,204.0950095236472,299.328677077,100.01245202903176,28.139624154386567,6.992035353145684,168.6136227573165,3,True,,2023-04-28 00:00:00,2023-05-12 18:00:00,True,True,,0.0180939491083877,0.0017107500000002,False,31
E022,2023-08-17 18:00:00,2023-08-17 18:00:00,2023-08-17 18:00:00,69.49059794304594,37.08812570115144,664.838745859,60.80009279851696,21.27297190865036,3.266614474058913,48.21762603439558,1,True,,2023-08-10 18:00:00,2023-08-24 18:00:00,False,False,elevated_eth_volatility,0.0421473910685765,0.0024589166666662,True,13
