avg_gas_gwei,block_count,max_gas_gwei,median_gas_gwei,stablecoin_volume_usd,time,transaction_count,transfer_count,log_volume,log_avg_gas,log_max_gas,fee_regime,rolling_gas_threshold,relative_shock,absolute_shock,fee_shock,lagged_threshold_gwei,lagged_median_gwei,shock_ratio,shock_increase_gwei,relative_candidate
89.0093059077022,1595,360.199631007,73.99269032971168,1060230572.7585136,2022-01-01 00:00:00,7157,7157,20.78175224382951,4.499913063959428,5.889430799967004,high,,,1,,,,,,False
60.63644423186295,1671,102.306233885,59.49768240907127,438003884.4064485,2022-01-01 06:00:00,6662,6662,19.897738339092356,4.121253322737767,4.6376977216910165,high,,,1,,,,,,False
63.7650828449918,1585,130.301890374,61.85614660006857,577602954.6023701,2022-01-01 12:00:00,5404,5404,20.17439726256991,4.170766613144402,4.877499178569923,high,,,1,,,,,,False
90.68211515117704,1655,179.885497958,88.59381504481426,540801934.8639683,2022-01-01 18:00:00,4651,4651,20.10856366231674,4.51832732372099,5.197864223118127,high,,,1,,,,,,False
97.94651269049568,1616,338.749726998,89.13780646202558,628990410.7880063,2022-01-02 00:00:00,7423,7423,20.25962657096825,4.594579428279422,5.828209249493034,high,,,1,,,,,,False
66.60698722389454,1555,121.241060443,65.03720836954464,133891261.60642444,2022-01-02 06:00:00,5409,5409,18.712538555406294,4.213711339007722,4.805995000470569,high,,,1,,,,,,False
76.7766767144915,1707,155.540259392,72.10796456192892,187658549.88823572,2022-01-02 12:00:00,5439,5439,19.050134650789733,4.353841601079014,5.053313225408665,high,,,1,,,,,,False
143.62513924134015,1617,564.050672086,116.45481562301045,199421156.5408492,2022-01-02 18:00:00,3965,3965,19.11092951588548,4.974145148288417,6.336915412232937,high,,,1,,,,,,False
93.2109416011182,1633,170.593525178,90.76582869065344,409444143.2583048,2022-01-03 00:00:00,9089,9089,19.830311052096476,4.545536327715206,5.145128454279052,high,,,1,,,,,,False
79.16854009144717,1543,149.02351644,77.59428693630704,498929137.8360272,2022-01-03 06:00:00,7138,7138,20.02797463729131,4.384131169728733,5.010792058074808,high,,,1,,,,,,False
99.04208299645454,1628,202.599723282,96.9785442257974,601629101.6656467,2022-01-03 12:00:00,13682,13682,20.215151704871417,4.605590927428542,5.316155925549707,high,,,1,,,,,,False
124.2128030001726,1657,260.709175978,118.88719411791853,374371985.3487104,2022-01-03 18:00:00,6388,6388,19.740760476981784,4.830014713822527,5.5672338718866365,high,,,1,,,,,,False
113.75819729525998,1604,305.032798614,108.11231853691798,1233364797.877747,2022-01-04 00:00:00,9357,9357,20.933011880206617,4.742827282513486,5.72369228122155,high,,,1,,,,,,False
78.59223922397314,1638,130.680003253,77.75425854031742,608435666.2038741,2022-01-04 06:00:00,8272,8272,20.22640174122651,4.376916590910911,4.880374761632587,high,,,1,,,,,,False
123.53386632559553,1565,512.168084252,98.5981827108662,757631785.4201746,2022-01-04 12:00:00,11397,11397,20.445708055688,4.824577697593871,6.240603441119392,high,,,1,,,,,,False
174.58870686016064,1687,705.030824077,147.97291085303016,342514153.0994541,2022-01-04 18:00:00,6074,6074,19.651823540650486,5.168144367402636,6.559658896705887,high,,,1,,,,,,False
119.45302853668684,1587,216.742909694,115.33116522400876,536410946.1256832,2022-01-05 00:00:00,7523,7523,20.10041111767526,4.79125987226232,5.383315053521643,high,,,1,,,,,,False
95.61645326953132,1596,161.089313038,93.2456470443326,1274810335.7083414,2022-01-05 06:00:00,9204,9204,20.96606324896873,4.57074905041619,5.088147498363459,high,,,1,,,,,,False
144.31859129219347,1623,470.035872366,131.76320342209587,1228882590.999093,2022-01-05 12:00:00,11146,11146,20.929371131639883,4.9789285134730505,6.154934253252111,high,,,1,,,,,,False
182.58195879586037,1654,463.470561704,173.99090862338875,657643243.0667093,2022-01-05 18:00:00,9487,9487,20.3041731599862,5.212661209719098,6.140898179935519,high,,,1,,,,,,False
135.0157198402068,1562,239.497073157,132.55044063247706,780899104.0384448,2022-01-06 00:00:00,8970,8970,20.47595651256802,4.912770466116727,5.4827079196464,high,,,1,,,,,,False
117.581015810962,1579,582.413849913,102.64346010393984,894589478.590807,2022-01-06 06:00:00,8026,8031,20.611875488990908,4.77559640470367,6.368896797146689,high,,,1,,,,,,False
134.03527085090866,1642,318.539547409,126.60546565883504,1032540757.2073509,2022-01-06 12:00:00,10498,10500,20.75528835728169,4.905536009876812,5.766881045215497,high,,,1,,,,,,False
122.84919972979117,1609,201.9973371,121.12698877807532,562624897.266096,2022-01-06 18:00:00,5651,5651,20.148123708757264,4.819064694306023,5.313192861221759,high,,,1,,,,,,False
173.99922163963717,1582,505.371717939,163.9764399682656,1619879823.0779035,2022-01-07 00:00:00,7570,7570,21.205617800771076,5.16478152614012,6.227271020018759,high,,,1,,,,,,False
97.37755548438813,1649,177.090774422,95.2095146425651,914402242.4299586,2022-01-07 06:00:00,9056,9056,20.633781123886703,4.5888126833698095,5.18229338896518,high,,,1,,,,,,False
139.3905709943561,1567,477.393531043,134.7970591183289,2095316918.103808,2022-01-07 12:00:00,9597,9597,21.46297065291498,4.944428331176644,6.17043368047769,high,,,1,,,,,,False
149.3652918610431,1625,422.931059128,132.03297224040423,533281423.9344174,2022-01-07 18:00:00,5430,5430,20.09455984453937,5.013067612683226,6.049570845615504,high,,,1,,,,,,False
105.7594017987769,1636,453.558661787,99.84364383400806,607923960.3425237,2022-01-08 00:00:00,7108,7108,20.225560368527965,4.670577721286988,6.119326974127151,high,,,1,,,,,,False
76.76861898408545,1580,153.900594976,75.65024526256013,352251178.1797223,2022-01-08 06:00:00,7752,7752,19.679855056302323,4.353737994854511,5.042783588448371,high,,,1,,,,,,False
103.56039310204822,1659,269.015637832,97.47414692657544,341467486.31217194,2022-01-08 12:00:00,6555,6555,19.64876302691474,4.649764828892375,5.598479875217494,high,,,1,,,,,,False
152.3118907583685,1650,425.440596018,143.9337122327394,408687936.0877952,2022-01-08 18:00:00,5547,5547,19.828462432776668,5.032474348155898,6.055473074740992,high,,,1,,,,,,False
119.07418150900476,1681,354.426858963,113.74913623282578,350932207.049326,2022-01-09 00:00:00,5289,5289,19.676103623315704,4.788109731029674,5.873319486762005,high,,,1,,,,,,False
